waveform	[0]
t0	4/25/2025  16:03:36.789856
delta t	2.272727E-5

time	Y[0]
4/25/2025  16:03:36.797152	0.000000E+0
4/25/2025  16:03:36.797175	0.000000E+0
4/25/2025  16:03:36.797197	0.000000E+0
4/25/2025  16:03:36.797220	0.000000E+0
4/25/2025  16:03:36.797243	0.000000E+0
4/25/2025  16:03:36.797266	3.051758E-5
4/25/2025  16:03:36.797288	0.000000E+0
4/25/2025  16:03:36.797311	0.000000E+0
4/25/2025  16:03:36.797334	0.000000E+0
4/25/2025  16:03:36.797356	0.000000E+0
4/25/2025  16:03:36.797379	0.000000E+0
4/25/2025  16:03:36.797402	0.000000E+0
4/25/2025  16:03:36.797425	-3.051758E-5
4/25/2025  16:03:36.797447	0.000000E+0
4/25/2025  16:03:36.797470	0.000000E+0
4/25/2025  16:03:36.797493	-3.051758E-5
4/25/2025  16:03:36.797516	0.000000E+0
4/25/2025  16:03:36.797538	0.000000E+0
4/25/2025  16:03:36.797561	-3.051758E-5
4/25/2025  16:03:36.797584	0.000000E+0
4/25/2025  16:03:36.797606	0.000000E+0
4/25/2025  16:03:36.797629	0.000000E+0
4/25/2025  16:03:36.797652	0.000000E+0
4/25/2025  16:03:36.797675	0.000000E+0
4/25/2025  16:03:36.797697	0.000000E+0
4/25/2025  16:03:36.797720	0.000000E+0
4/25/2025  16:03:36.797743	0.000000E+0
4/25/2025  16:03:36.797766	3.051758E-5
4/25/2025  16:03:36.797788	0.000000E+0
4/25/2025  16:03:36.797811	0.000000E+0
4/25/2025  16:03:36.797834	-3.051758E-5
4/25/2025  16:03:36.797856	3.051758E-5
4/25/2025  16:03:36.797879	0.000000E+0
4/25/2025  16:03:36.797902	0.000000E+0
4/25/2025  16:03:36.797925	-3.051758E-5
4/25/2025  16:03:36.797947	-3.051758E-5
4/25/2025  16:03:36.797970	0.000000E+0
4/25/2025  16:03:36.797993	0.000000E+0
4/25/2025  16:03:36.798016	0.000000E+0
4/25/2025  16:03:36.798038	3.051758E-5
4/25/2025  16:03:36.798061	-3.051758E-5
4/25/2025  16:03:36.798084	0.000000E+0
4/25/2025  16:03:36.798106	0.000000E+0
4/25/2025  16:03:36.798129	0.000000E+0
4/25/2025  16:03:36.798152	-3.051758E-5
4/25/2025  16:03:36.798175	3.051758E-5
4/25/2025  16:03:36.798197	0.000000E+0
4/25/2025  16:03:36.798220	0.000000E+0
4/25/2025  16:03:36.798243	0.000000E+0
4/25/2025  16:03:36.798266	3.051758E-5
4/25/2025  16:03:36.798288	-3.051758E-5
4/25/2025  16:03:36.798311	0.000000E+0
4/25/2025  16:03:36.798334	0.000000E+0
4/25/2025  16:03:36.798356	0.000000E+0
4/25/2025  16:03:36.798379	0.000000E+0
4/25/2025  16:03:36.798402	0.000000E+0
4/25/2025  16:03:36.798425	0.000000E+0
4/25/2025  16:03:36.798447	0.000000E+0
4/25/2025  16:03:36.798470	0.000000E+0
4/25/2025  16:03:36.798493	0.000000E+0
4/25/2025  16:03:36.798516	0.000000E+0
4/25/2025  16:03:36.798538	0.000000E+0
4/25/2025  16:03:36.798561	-3.051758E-5
4/25/2025  16:03:36.798584	0.000000E+0
4/25/2025  16:03:36.798606	0.000000E+0
4/25/2025  16:03:36.798629	0.000000E+0
4/25/2025  16:03:36.798652	0.000000E+0
4/25/2025  16:03:36.798675	0.000000E+0
4/25/2025  16:03:36.798697	0.000000E+0
4/25/2025  16:03:36.798720	0.000000E+0
4/25/2025  16:03:36.798743	0.000000E+0
4/25/2025  16:03:36.798766	0.000000E+0
4/25/2025  16:03:36.798788	0.000000E+0
4/25/2025  16:03:36.798811	3.051758E-5
4/25/2025  16:03:36.798834	-3.051758E-5
4/25/2025  16:03:36.798856	0.000000E+0
4/25/2025  16:03:36.798879	0.000000E+0
4/25/2025  16:03:36.798902	-3.051758E-5
4/25/2025  16:03:36.798925	3.051758E-5
4/25/2025  16:03:36.798947	0.000000E+0
4/25/2025  16:03:36.798970	0.000000E+0
4/25/2025  16:03:36.798993	0.000000E+0
4/25/2025  16:03:36.799016	0.000000E+0
4/25/2025  16:03:36.799038	0.000000E+0
4/25/2025  16:03:36.799061	0.000000E+0
4/25/2025  16:03:36.799084	0.000000E+0
4/25/2025  16:03:36.799106	0.000000E+0
4/25/2025  16:03:36.799129	0.000000E+0
4/25/2025  16:03:36.799152	0.000000E+0
4/25/2025  16:03:36.799175	0.000000E+0
4/25/2025  16:03:36.799197	0.000000E+0
4/25/2025  16:03:36.799220	0.000000E+0
4/25/2025  16:03:36.799243	0.000000E+0
4/25/2025  16:03:36.799266	-3.051758E-5
4/25/2025  16:03:36.799288	0.000000E+0
4/25/2025  16:03:36.799311	0.000000E+0
4/25/2025  16:03:36.799334	0.000000E+0
4/25/2025  16:03:36.799356	0.000000E+0
4/25/2025  16:03:36.799379	0.000000E+0
4/25/2025  16:03:36.799402	0.000000E+0
4/25/2025  16:03:36.799425	0.000000E+0
4/25/2025  16:03:36.799447	-3.051758E-5
4/25/2025  16:03:36.799470	0.000000E+0
4/25/2025  16:03:36.799493	0.000000E+0
4/25/2025  16:03:36.799516	0.000000E+0
4/25/2025  16:03:36.799538	-3.051758E-5
4/25/2025  16:03:36.799561	0.000000E+0
4/25/2025  16:03:36.799584	0.000000E+0
4/25/2025  16:03:36.799606	-3.051758E-5
4/25/2025  16:03:36.799629	-3.051758E-5
4/25/2025  16:03:36.799652	0.000000E+0
4/25/2025  16:03:36.799675	0.000000E+0
4/25/2025  16:03:36.799697	0.000000E+0
4/25/2025  16:03:36.799720	0.000000E+0
4/25/2025  16:03:36.799743	0.000000E+0
4/25/2025  16:03:36.799766	3.051758E-5
4/25/2025  16:03:36.799788	3.051758E-5
4/25/2025  16:03:36.799811	-3.051758E-5
4/25/2025  16:03:36.799834	0.000000E+0
4/25/2025  16:03:36.799856	-3.051758E-5
4/25/2025  16:03:36.799879	0.000000E+0
4/25/2025  16:03:36.799902	0.000000E+0
4/25/2025  16:03:36.799925	0.000000E+0
4/25/2025  16:03:36.799947	0.000000E+0
4/25/2025  16:03:36.799970	0.000000E+0
4/25/2025  16:03:36.799993	0.000000E+0
4/25/2025  16:03:36.800016	0.000000E+0
4/25/2025  16:03:36.800038	0.000000E+0
4/25/2025  16:03:36.800061	3.051758E-5
4/25/2025  16:03:36.800084	0.000000E+0
4/25/2025  16:03:36.800106	0.000000E+0
4/25/2025  16:03:36.800129	0.000000E+0
4/25/2025  16:03:36.800152	0.000000E+0
4/25/2025  16:03:36.800175	-3.051758E-5
4/25/2025  16:03:36.800197	3.051758E-5
4/25/2025  16:03:36.800220	0.000000E+0
4/25/2025  16:03:36.800243	0.000000E+0
4/25/2025  16:03:36.800266	3.051758E-5
4/25/2025  16:03:36.800288	0.000000E+0
4/25/2025  16:03:36.800311	0.000000E+0
4/25/2025  16:03:36.800334	0.000000E+0
4/25/2025  16:03:36.800356	0.000000E+0
4/25/2025  16:03:36.800379	0.000000E+0
4/25/2025  16:03:36.800402	3.051758E-5
4/25/2025  16:03:36.800425	3.051758E-5
4/25/2025  16:03:36.800447	0.000000E+0
4/25/2025  16:03:36.800470	0.000000E+0
4/25/2025  16:03:36.800493	0.000000E+0
4/25/2025  16:03:36.800516	0.000000E+0
4/25/2025  16:03:36.800538	0.000000E+0
4/25/2025  16:03:36.800561	-3.051758E-5
4/25/2025  16:03:36.800584	0.000000E+0
4/25/2025  16:03:36.800606	-3.051758E-5
4/25/2025  16:03:36.800629	3.051758E-5
4/25/2025  16:03:36.800652	0.000000E+0
4/25/2025  16:03:36.800675	3.051758E-5
4/25/2025  16:03:36.800697	0.000000E+0
4/25/2025  16:03:36.800720	0.000000E+0
4/25/2025  16:03:36.800743	3.051758E-5
4/25/2025  16:03:36.800766	0.000000E+0
4/25/2025  16:03:36.800788	0.000000E+0
4/25/2025  16:03:36.800811	3.051758E-5
4/25/2025  16:03:36.800834	0.000000E+0
4/25/2025  16:03:36.800856	0.000000E+0
4/25/2025  16:03:36.800879	0.000000E+0
4/25/2025  16:03:36.800902	3.051758E-5
4/25/2025  16:03:36.800925	-3.051758E-5
4/25/2025  16:03:36.800947	-3.051758E-5
4/25/2025  16:03:36.800970	3.051758E-5
4/25/2025  16:03:36.800993	0.000000E+0
4/25/2025  16:03:36.801016	0.000000E+0
4/25/2025  16:03:36.801038	0.000000E+0
4/25/2025  16:03:36.801061	-3.051758E-5
4/25/2025  16:03:36.801084	0.000000E+0
4/25/2025  16:03:36.801106	0.000000E+0
4/25/2025  16:03:36.801129	3.051758E-5
4/25/2025  16:03:36.801152	0.000000E+0
4/25/2025  16:03:36.801175	0.000000E+0
4/25/2025  16:03:36.801197	0.000000E+0
4/25/2025  16:03:36.801220	0.000000E+0
4/25/2025  16:03:36.801243	0.000000E+0
4/25/2025  16:03:36.801266	0.000000E+0
4/25/2025  16:03:36.801288	-3.051758E-5
4/25/2025  16:03:36.801311	0.000000E+0
4/25/2025  16:03:36.801334	0.000000E+0
4/25/2025  16:03:36.801356	0.000000E+0
4/25/2025  16:03:36.801379	-3.051758E-5
4/25/2025  16:03:36.801402	0.000000E+0
4/25/2025  16:03:36.801425	0.000000E+0
4/25/2025  16:03:36.801447	3.051758E-5
4/25/2025  16:03:36.801470	3.051758E-5
4/25/2025  16:03:36.801493	-3.051758E-5
4/25/2025  16:03:36.801516	0.000000E+0
4/25/2025  16:03:36.801538	0.000000E+0
4/25/2025  16:03:36.801561	0.000000E+0
4/25/2025  16:03:36.801584	0.000000E+0
4/25/2025  16:03:36.801606	0.000000E+0
4/25/2025  16:03:36.801629	0.000000E+0
4/25/2025  16:03:36.801652	0.000000E+0
4/25/2025  16:03:36.801675	0.000000E+0
